,industry,percentage,funds_raised,stage,country,laid_off_count,month,day,year
518,18,0.25,19.0,0,22,1,2,6,2023
519,24,0.265282,496.0,7,59,0,2,6,2023
520,7,0.265282,2300.0,0,5,3,2,6,2023
521,23,0.11,157.0,0,48,3,2,6,2023
522,7,0.265282,6.0,1,25,3,2,6,2023
523,12,0.265282,183.0,0,59,1,2,5,2023
524,7,0.25,42.0,3,25,0,2,5,2023
525,10,0.15,396.0,6,59,1,2,3,2023
526,15,0.265282,150.0,6,22,1,2,3,2023
527,3,0.2,10.0,0,59,1,2,3,2023
528,23,0.15,30.0,0,1,3,2,3,2023
529,5,0.265282,5500.0,12,22,4,2,2,2023
530,25,0.05,1200.0,13,59,4,2,2,2023
531,19,0.02,157.0,13,59,4,2,2,2023
532,12,0.265282,160.0,4,59,2,2,2,2023
533,25,0.07,157.0,13,58,2,2,2,2023
534,19,0.07,476.0,4,59,2,2,2,2023
535,9,0.265282,1800.0,6,59,2,2,2,2023
536,24,0.1,644.0,7,59,2,2,2,2023
537,3,0.265282,157.0,0,59,1,2,2,2023
538,4,0.265282,55.0,3,59,0,2,2,2023
539,5,0.265282,1500.0,2,59,0,2,2,2023
540,19,0.265282,811.0,13,59,3,2,2,2023
541,27,0.1,948.0,13,59,3,2,2,2023
542,2,0.2,240.0,13,50,3,2,2,2023
543,7,0.265282,60.0,4,35,3,2,2,2023
