industry,percentage,funds_raised,stage,country,month,day,year,laid_off_count
4,0.265282,17.0,14,59,3,27,2023,2
12,0.35,143.0,13,59,3,27,2023,2
7,0.265282,250.0,0,59,3,24,2023,1
2,0.265282,157.0,14,59,3,24,2023,2
23,0.265282,300.0,13,16,3,23,2023,2
4,0.265282,500.0,14,59,3,23,2023,1
23,0.265282,146.0,0,56,3,23,2023,0
19,0.25,15.0,2,16,3,23,2023,0
10,0.15,5.0,14,59,3,22,2023,2
11,0.265282,157.0,13,53,3,22,2023,2
10,0.15,204.0,14,59,3,22,2023,0
27,0.16,376.0,13,58,3,22,2023,0
4,0.265282,80.0,3,7,3,22,2023,2
21,0.27,365.0,6,59,3,22,2023,2
9,0.265282,157.0,14,58,3,21,2023,2
11,0.04,157.0,13,59,3,21,2023,2
10,0.1,131.0,0,24,3,21,2023,1
7,0.1,331.0,0,7,3,21,2023,1
10,0.265282,157.0,2,17,3,21,2023,0
9,0.265282,101.0,2,1,3,21,2023,0
7,0.04,62.0,4,22,3,21,2023,0
28,0.265282,3300.0,13,59,3,21,2023,2
2,0.265282,17.0,2,1,3,21,2023,2
17,0.265282,145.0,3,59,3,21,2023,2
7,0.1,130.0,13,35,3,21,2023,2
23,0.265282,108.0,13,59,3,20,2023,2
2,0.1,57.0,4,41,3,20,2023,2
23,0.02,431.0,7,22,3,17,2023,1
19,0.25,148.0,4,7,3,17,2023,0
21,0.265282,23.0,0,59,3,17,2023,2
26,0.02,484.0,13,59,3,16,2023,1
16,0.265282,157.0,13,59,3,16,2023,1
8,0.28,157.0,14,2,3,16,2023,0
5,0.15,477.0,4,59,3,16,2023,0
23,0.21,71.0,13,59,3,16,2023,0
10,0.265282,31.0,3,59,3,16,2023,2
17,0.265282,778.0,0,59,3,15,2023,1
23,0.3,17.0,2,22,3,15,2023,0
23,0.25,365.0,13,59,3,15,2023,0
7,0.265282,4100.0,13,5,3,15,2023,0
7,0.3,24.0,3,35,3,15,2023,0
21,0.265282,172.0,0,59,3,15,2023,2
2,0.265282,26000.0,13,59,3,14,2023,2
23,0.1,581.0,6,59,3,14,2023,1
3,0.2,487.0,5,59,3,14,2023,1
11,0.14,106.0,4,7,3,14,2023,0
11,0.265282,157.0,13,59,3,14,2023,0
7,0.3,16.0,2,59,3,14,2023,0
27,0.265282,1300.0,13,23,3,10,2023,2
2,0.265282,157.0,0,27,3,10,2023,1
7,0.15,681.0,13,35,3,9,2023,1
9,0.265282,157.0,0,23,3,9,2023,1
9,0.02,3400.0,9,59,3,9,2023,1
7,0.265282,79.0,14,7,3,9,2023,0
18,0.265282,157.0,14,59,3,9,2023,0
10,0.265282,31.0,3,59,3,9,2023,2
12,0.7,157.0,13,59,3,9,2023,2
5,1.0,157.0,2,59,3,9,2023,2
18,0.15,117.0,14,7,3,8,2023,0
4,0.15,52.0,3,59,3,8,2023,2
12,0.15,177.0,6,22,3,7,2023,2
8,0.15,619.0,4,59,3,7,2023,1
7,1.0,18.0,2,59,3,7,2023,2
3,0.25,6.0,0,58,3,7,2023,2
2,0.265282,2700.0,13,59,3,7,2023,2
23,0.265282,194.0,14,59,3,7,2023,2
19,0.05,210.0,13,1,3,6,2023,1
18,0.08,525.0,13,59,3,6,2023,2
23,0.265282,16.0,3,36,3,6,2023,2
10,0.265282,157.0,0,59,3,6,2023,2
5,0.265282,631.0,0,22,3,6,2023,1
23,0.265282,116.0,6,22,3,6,2023,0
23,0.265282,365.0,4,16,3,6,2023,2
10,0.265282,157.0,14,41,3,4,2023,0
21,0.15,788.0,0,5,3,3,2023,2
27,0.7,317.0,13,59,3,3,2023,1
21,0.265282,59.0,0,1,3,3,2023,1
17,0.265282,152.0,14,59,3,3,2023,0
28,0.265282,6400.0,13,59,3,3,2023,0
12,0.265282,458.0,13,59,3,3,2023,2
19,0.265282,1200.0,7,59,3,3,2023,2
25,0.03,148.0,13,59,3,2,2023,1
5,0.265282,461.0,6,59,3,2,2023,1
9,0.265282,157.0,14,5,3,2,2023,0
8,0.11,13.0,2,22,3,2,2023,0
18,0.1,20.0,14,59,3,2,2023,0
7,0.1,157.0,0,53,3,2,2023,2
23,0.265282,12900.0,14,22,3,2,2023,2
2,1.0,157.0,14,59,3,2,2023,2
21,0.265282,472.0,5,59,3,2,2023,1
15,0.265282,157.0,14,59,3,2,2023,2
19,0.04,748.0,13,59,3,1,2023,2
9,0.06,2100.0,15,5,3,1,2023,2
12,0.265282,482.0,6,59,3,1,2023,2
27,0.08,5500.0,15,59,3,1,2023,1
10,0.2,495.0,6,16,3,1,2023,1
26,0.265282,102.0,4,59,3,1,2023,1
28,0.14,839.0,13,59,3,1,2023,1
3,0.5,70.0,2,59,3,1,2023,2
2,0.265282,2.0,13,59,2,28,2023,1
2,0.08,557.0,13,59,2,28,2023,1
5,1.0,157.0,0,22,2,28,2023,2
7,0.09,485.0,13,59,2,28,2023,2
27,0.265282,126.0,13,17,2,27,2023,2
12,0.15,462.0,4,59,2,27,2023,2
7,0.25,283.0,0,59,2,27,2023,1
4,0.02,3000.0,13,59,2,27,2023,1
24,0.07,489.0,8,59,2,27,2023,0
25,0.25,126.0,3,59,2,27,2023,0
25,0.265282,401.0,0,25,2,26,2023,0
2,0.1,12900.0,13,59,2,25,2023,1
19,0.08,663.0,13,52,2,24,2023,2
