industry,percentage,funds_raised,stage,country,laid_off_count,month,day,year
19,0.04,157,14,59,'\'(245.743-inf)\'',4,24,2023
13,0.13,337,6,59,'\'(-inf-74.5]\'',4,24,2023
27,0.26,4900,13,59,'\'(245.743-inf)\'',4,21,2023
19,0.09,411,7,59,'\'(-inf-74.5]\'',4,21,2023
5,0.265282,192,14,59,'\'(245.743-inf)\'',4,21,2023
18,0.15,696,13,59,'\'(74.5-245.743]\'',4,20,2023
2,0.3,50,3,22,'\'(74.5-245.743]\'',4,20,2023
7,0.265282,190,5,22,'\'(-inf-74.5]\'',4,20,2023
10,0.12,192,5,59,'\'(-inf-74.5]\'',4,20,2023
18,0.1,157,0,59,'\'(245.743-inf)\'',4,20,2023
11,0.265282,850,13,59,'\'(245.743-inf)\'',4,20,2023
25,0.09,157,13,59,'\'(245.743-inf)\'',4,19,2023
19,0.1,307,13,59,'\'(74.5-245.743]\'',4,19,2023
21,0.22,1900,13,59,'\'(245.743-inf)\'',4,18,2023
23,0.1,157,0,45,'\'(245.743-inf)\'',4,18,2023
10,0.09,257,7,1,'\'(74.5-245.743]\'',4,18,2023
3,0.09,149,3,59,'\'(-inf-74.5]\'',4,18,2023
9,1,3,1,1,'\'(245.743-inf)\'',4,18,2023
2,0.25,157,1,41,'\'(74.5-245.743]\'',4,17,2023
7,0.15,304,5,59,'\'(74.5-245.743]\'',4,17,2023
5,0.03,389,5,7,'\'(74.5-245.743]\'',4,17,2023
9,0.25,579,5,16,'\'(-inf-74.5]\'',4,17,2023
7,0.265282,42,2,22,'\'(245.743-inf)\'',4,17,2023
18,0.265282,94,4,40,'\'(245.743-inf)\'',4,17,2023
25,1,157,0,25,'\'(245.743-inf)\'',4,16,2023
7,0.2,85,4,59,'\'(74.5-245.743]\'',4,14,2023
3,0.17,18,2,59,'\'(-inf-74.5]\'',4,14,2023
12,0.18,127,3,59,'\'(245.743-inf)\'',4,14,2023
9,0.265282,139,4,23,'\'(245.743-inf)\'',4,14,2023
